Global Frequencies 	30963 	36691 	13379 	44221 	33321 	28310 	5345 	1362 	9128 	14697 	21125 	8974 	2489 	16937 	22752 	40162 	70373 	5072 	11576 	12809 	18964 	20206 	11321 	11058 	30963 	7137 	21048 	32647 	6706 	4523 	38135 	29289 	42121 	6983 	14397 	8480 	14458 	287 	10216 	2678 	39355 	16075 	23448 	11744 	18084 	29299 	25196 	27831 	52298 	9154 	26530 	14321 	33889 	20224 	44889 	34790 	21823 	24022 	19995 	1177 	17991 	11310 	20055 	10981 	1315784
b1147  	0 	1 	3 	6 	3 	6 	1 	0 	2 	2 	0 	2 	1 	3 	2 	10 	5 	0 	3 	2 	0 	0 	3 	0 	4 	0 	2 	5 	2 	0 	8 	2 	6 	0 	3 	1 	0 	0 	2 	0 	5 	3 	6 	2 	2 	6 	4 	2 	4 	9 	2 	2 	6 	5 	7 	3 	1 	9 	1 	1 	0 	4 	9 	3 	186
b1688  	9 	14 	3 	3 	16 	3 	0 	1 	3 	8 	3 	0 	0 	3 	3 	19 	23 	2 	1 	1 	10 	5 	2 	1 	13 	3 	3 	11 	2 	0 	6 	10 	7 	0 	7 	1 	5 	0 	2 	1 	17 	2 	1 	1 	11 	3 	4 	9 	0 	10 	7 	12 	6 	13 	19 	3 	11 	3 	0 	8 	4 	13 	8 	2 	371
b3209  	5 	7 	6 	3 	5 	2 	1 	0 	2 	0 	5 	0 	0 	4 	4 	11 	12 	0 	2 	0 	4 	1 	1 	1 	7 	0 	2 	6 	2 	1 	6 	4 	11 	0 	2 	3 	2 	0 	2 	0 	6 	0 	2 	0 	4 	3 	3 	4 	1 	6 	1 	6 	4 	15 	7 	2 	6 	3 	1 	4 	1 	0 	14 	1 	218
b3280  	0 	1 	0 	2 	2 	1 	0 	1 	0 	1 	0 	1 	0 	1 	3 	1 	3 	0 	1 	0 	1 	3 	3 	1 	1 	2 	1 	1 	2 	0 	5 	2 	3 	0 	0 	1 	0 	0 	1 	0 	2 	0 	3 	0 	3 	3 	1 	4 	0 	0 	1 	1 	1 	4 	2 	0 	0 	1 	1 	0 	0 	5 	8 	1 	86
b2013  	7 	16 	3 	7 	9 	2 	3 	0 	0 	4 	4 	4 	0 	4 	7 	14 	16 	2 	9 	1 	2 	4 	6 	3 	5 	2 	5 	16 	2 	3 	5 	8 	2 	0 	5 	2 	12 	0 	8 	1 	6 	4 	4 	1 	9 	1 	6 	13 	2 	9 	4 	9 	5 	14 	11 	7 	9 	6 	0 	8 	2 	12 	4 	4 	353
b1682  	3 	6 	4 	10 	5 	5 	0 	0 	1 	4 	3 	0 	0 	2 	1 	9 	8 	1 	0 	3 	7 	4 	3 	2 	4 	1 	5 	4 	0 	2 	8 	8 	15 	0 	5 	1 	3 	0 	2 	1 	14 	3 	8 	6 	8 	5 	2 	5 	1 	3 	1 	4 	4 	4 	9 	5 	6 	2 	0 	4 	3 	1 	11 	0 	249
b0995  	7 	6 	0 	4 	2 	3 	0 	0 	1 	4 	4 	0 	0 	4 	5 	11 	16 	2 	2 	2 	5 	4 	0 	1 	5 	1 	5 	4 	0 	4 	5 	8 	10 	5 	1 	3 	4 	0 	1 	0 	4 	2 	5 	2 	8 	5 	8 	2 	1 	3 	3 	3 	2 	5 	9 	2 	7 	3 	1 	1 	2 	1 	12 	1 	231
b1718  	0 	5 	9 	12 	7 	2 	1 	0 	4 	4 	3 	2 	1 	0 	2 	5 	6 	0 	0 	1 	3 	4 	1 	1 	2 	0 	2 	6 	1 	1 	8 	8 	4 	0 	2 	0 	0 	0 	2 	1 	6 	1 	6 	0 	2 	3 	5 	1 	0 	2 	2 	4 	2 	2 	5 	4 	5 	2 	0 	1 	1 	0 	15 	2 	181
b2558  	13 	10 	6 	27 	9 	10 	0 	1 	7 	12 	11 	3 	0 	6 	11 	12 	31 	0 	5 	2 	8 	9 	5 	2 	10 	5 	17 	8 	0 	0 	18 	7 	22 	4 	5 	0 	4 	0 	4 	1 	14 	11 	13 	4 	8 	11 	9 	14 	4 	6 	7 	18 	7 	15 	13 	4 	4 	9 	0 	6 	5 	8 	20 	4 	519
b4168  	3 	4 	0 	3 	3 	2 	1 	0 	2 	2 	2 	2 	0 	1 	2 	2 	7 	0 	1 	2 	2 	3 	1 	1 	2 	3 	7 	7 	0 	1 	4 	3 	9 	2 	2 	2 	1 	0 	0 	1 	6 	1 	7 	0 	5 	3 	2 	5 	0 	4 	3 	5 	4 	5 	2 	0 	2 	1 	0 	3 	1 	1 	3 	1 	154
b0649  	4 	10 	3 	16 	7 	3 	4 	3 	7 	5 	14 	7 	1 	9 	8 	12 	15 	1 	2 	0 	6 	15 	3 	5 	10 	2 	11 	9 	6 	2 	12 	7 	25 	6 	9 	5 	2 	0 	3 	0 	3 	7 	20 	5 	17 	3 	8 	9 	4 	8 	5 	11 	7 	16 	5 	8 	3 	11 	1 	14 	1 	14 	33 	2 	484
b3639  	8 	13 	2 	17 	12 	10 	1 	0 	5 	8 	5 	3 	0 	5 	8 	9 	12 	2 	1 	2 	7 	4 	3 	5 	9 	5 	5 	10 	2 	3 	11 	5 	15 	1 	6 	2 	3 	0 	4 	1 	10 	3 	6 	2 	8 	10 	14 	7 	2 	7 	6 	30 	6 	10 	12 	1 	12 	12 	0 	4 	4 	3 	11 	3 	407
b1208  	2 	6 	2 	7 	4 	1 	2 	1 	3 	4 	6 	3 	2 	3 	8 	6 	12 	4 	3 	3 	9 	3 	1 	3 	10 	2 	1 	8 	2 	1 	4 	5 	12 	2 	7 	2 	7 	0 	1 	1 	9 	4 	7 	1 	4 	4 	6 	10 	2 	6 	1 	8 	3 	10 	8 	1 	7 	2 	0 	5 	3 	5 	13 	2 	284
b3870  	13 	17 	5 	19 	15 	17 	0 	0 	3 	0 	1 	0 	0 	4 	2 	12 	29 	0 	6 	12 	1 	2 	0 	6 	18 	0 	5 	15 	1 	0 	8 	8 	12 	0 	2 	3 	1 	0 	1 	1 	19 	12 	7 	2 	0 	19 	15 	5 	1 	13 	9 	9 	3 	10 	12 	18 	8 	13 	0 	1 	12 	2 	29 	12 	470
b2074  	19 	4 	4 	19 	12 	7 	1 	0 	1 	4 	10 	2 	0 	4 	8 	8 	16 	1 	3 	0 	7 	14 	7 	5 	6 	2 	2 	10 	0 	1 	20 	13 	16 	2 	2 	0 	4 	0 	2 	0 	14 	2 	2 	2 	8 	8 	7 	5 	0 	14 	6 	22 	7 	15 	19 	4 	11 	3 	1 	0 	6 	6 	17 	1 	416
